Content,Emotion_actual,Emotion_predicted
aint get my vanilla frosty yet,worry,worry
work and really slow for a beautiful day and a Friday,relief,sadness
for this bullshit econ test,anger,neutral
back from Arizona yesterday Moved the furniture and stuff out of the Arizona house and ship it to Redwood City How sad,worry,sadness
more minutes and i never have this class again Its kinda sad cause this class be so fun,sadness,sadness
can I get nice food for Mam down the Bay that a be likely to have room for 3 tonight and b isn t the mingin burger kitchen,worry,worry
element in the DOM with children be a single parent,neutral,sadness
mccafe taste like chewin on a cigarette butt I miss my sonic card,sadness,worry
can t wish I be sleep Got ta be at work in less than 4 hours Wait what re u do up,sadness,worry
dish i miss my kitchen team,sadness,sadness
you never follow me I sad LOL,sadness,sadness
I can haz beer too Oh wait I m a work,sadness,worry
lt 3 maria but i wish she be in my class i love her lol bore in class again,love,love
It be an app that change your wallpaper to one of several hundred at random intervals It s hard to find good wallpaper,hate,neutral
report,neutral,worry
Sorry to hear,worry,worry
hate go to the dr just waste 1 hour and a half for them to say my back pain be probly depression or stress Duhh I need it fix,hate,worry
My camera be brokenn,sadness,worry
more Wiffleball Damn,sadness,worry
bite my tongue soo bad it s swell,sadness,worry
Southridge be move a week later cause of Swine flu i think,sadness,worry
Caan t Iht Be Earlier ICant Wait That Long Ahar,sadness,worry
no migrane yey but tummy be hurt evil IBS,worry,worry
About to climb into bed and fall asleep I hope this weekend will be fun I only have a couple of weeks leave,sadness,sadness
thomasfiss i jus listen 2 not okay it s nice i lik it I ve be thinkin abt thomas throughout e whole song luv ya,love,neutral
very stress and string out awake at 4 50am mind buzz and Mrs Dr A be not talk to me,sadness,worry
that s no fun server change,neutral,neutral
I didn t have to work today,sadness,worry
must i hve graduation practice all im gon na be walk,worry,neutral
We go not so long ago I use to go when I be a little kid Back then there be TONS of teeth Now not so many at all,neutral,worry
my way 2 work damn sinus headaches suck,hate,worry
do many things but miss tweet,neutral,sadness
ohyeahh hate the heat,sadness,hate
me too chrome s popup blocker be better,neutral,neutral
When be you come to Indianapolis,surprise,neutral
for this saddenning depress dullful upset dreadful weekend,sadness,sadness
day work for Tend,sadness,sadness
test today be killer I didn t even manage to finish on time,worry,worry
Awh I forget you have the pox Hope you get better soon,worry,worry
So you re gon na make me go all the way to the store LOL I have to find one I ll Google Thanks LOL,love,happiness
wish i coulda be there,neutral,sadness
I miss the rain so much I be grateful for it,happiness,worry
so tire idk what 2 do and I have 2 much 2 do church 2 nite get ta write sermon wash amp flat iron hair eat so so much 2 do,sadness,worry
Dang that IS disappoint,sadness,sadness
day of administrative job,worry,worry
the 2009 convention doesn t look that great this year go to vegas then sound much more fun,worry,worry
allureonfire I m lookin the news and its not gon na b warm enough for the beach,worry,sadness
on break with It s rain,worry,worry
test in three hours,worry,neutral
a failure,sadness,neutral
i think it be earlier,worry,worry
you have GH WT i hate you i quot get quot it but it be DVD9 and i need it now the drum be be sell separately,love,sadness
song that make me cry and cry all day and night long,love,sadness
my leg comment me please,worry,worry
think about a career change,neutral,neutral
no Trouble in paradice,worry,worry
Yeah but there s nothing really to say about it Breakfast pizza,neutral,sadness
ptour2 tom hello school again shit,surprise,sadness
SUMTHING FOR THIS EXCRUCIATING HEADACHE,worry,worry
stupid tooth hurt,sadness,sadness
aww cant wait till u get 2 Sydney D i miss out on ticket tho O xx,worry,worry
ugh I have a knee injury too except mine be just an infect cut that hurt like hell,worry,sadness
demi just say hi to me and it s enough just replay to me please love you so much,happiness,love
I know It be worth a shoot though,relief,worry
i be there so you should go in my place brandwkshop i see they ve get scott bedbury and more poor me,enthusiasm,worry
7pm almost 10pm didn t fall asleep again until 3am get back up at 5am Aw school,worry,worry
I do I m single and it suck,worry,sadness
for my family and my dog Mozart be be put down this afternoon Pics of him at,neutral,worry
that s the last of the Fabs go,sadness,worry
yeah but there be like 5 00 type of snake and it s wicked wicked wicked hot and idk i don t think i d like it,worry,worry
Wishing I could kidnap from work,hate,sadness
not the internal fuse either Poop Might have to get the spare out of the loft although that might be a job for 2 people,worry,worry
ill HOW LONG MUST THIS GO ON meh meh stick at home do history revision til 10 30am,worry,neutral
My dog Nemo cause he wimpers every morning when I leave,worry,sadness
miss my cousin so much,worry,sadness
I ll hopefully get a chance to play it tomorrow Hope it s good otherwise I ve waste so many point,neutral,sadness
game of Candamir with the kid last night Can t believe it s now our last day,surprise,worry
the good old days,worry,sadness
up stupid,neutral,sadness
headache be kill me yet I need to cover some bore police event,sadness,worry
think the vog be make me sicker than i think feel slightly achy,worry,worry
the whole day edit in Pro Tools i luvv this thing and be become quite the pro but it give me insane headaches,worry,worry
tell me how I lose followerzz,worry,worry
wish pitchfork would shutup about primavera Makes me miss spain,worry,sadness
work this afternoon,neutral,neutral
to tweeple about my tweens for tomorrow I be 30,love,worry
to work it s 3 30am,neutral,worry
No sadly its not bite disappoint will try again later see if i change my mind,sadness,sadness
jet blue be okay I guess They cancel flight and don t have a lot of backup plan And no first class,worry,worry
be it still rain at least i have cute rainboots,surprise,worry
MacBook be bug out Any Mac head want to lend a help hand,neutral,neutral
well my daughter be 20 now thats why I say I miss those days they go by soo fast,sadness,worry
don t wan na work over the weekend,worry,sadness
teeth and head hurt,sadness,worry
it be days yesterday and probably today that I wish I have take the top off my jeep I need help haha IT S FRICKEN HOT,relief,sadness
The portuguese national library could use it also Right now they seem to be in a ca 1995 web Example,neutral,neutral
have a yucky burn,neutral,worry
wow How cool be that or be I guess I have 18 now haha get another follower,happiness,worry
headache goodnight,neutral,worry
mother be hog the TV,hate,neutral
come back for another year plleeaasse,neutral,worry
just launch twittix v1 10 not convince,hate,neutral
have my teeth check now my eye I m die for a coffee but can t drink for an hour,love,worry
beeaatoo,neutral,neutral
NEWS But I don t know if I can share it,worry,worry
the everything about seafood just so happen to serve lobster in the chow hall nooww I get ta headache ugh smh,hate,sadness
last thursday or yesterday that suck i miss it be it at lunch time ox,sadness,sadness
I m disappoint I make 2 serve and I be only able to enjoy one because my stomach be now full wish I have company to help,sadness,sadness
bk on reception comps aint work BUT the sun have get his hat on hip hip horay x,neutral,worry
far absolutely perfect Great view directly across from the elevators and ice machine and impecible weather I need my bike,love,worry
have a headache,neutral,worry
Y I GOT TA B TALKIN BOUT CLUBBIN Y CANT I B TALKIN BOUT THE MOVIES DINNER OR JUST HANGIN OUT,neutral,worry
want another tatt,enthusiasm,worry
be the new Thursday,worry,sadness
Feeling bad for profile pic,sadness,worry
ffs a don t get pay till monday Sorry william gon na have to wait till next weekend till I give you ï ½,love,sadness
morning tweeps Busy this a m but not in a work way,worry,worry
will be my second year that i will not be there,sadness,sadness
I do But Im on a strict diet ugh I feel like if i cheat for one day Ill throw everything up,sadness,sadness
Oh no,surprise,worry
Girl I know,neutral,neutral
tire I think I m become too old to go out,worry,worry
you re so far,neutral,worry
stomach hurt so bad,sadness,worry
a math test today The day before the test the teacher say bring your calculator Luke be confident Teacher decide no calcs,happiness,worry
i never notice this,neutral,worry
I know it just fall right at 1pm my time like right in the middle of the day,sadness,worry
unnerve me wait for the Doc flip thru magazines,worry,worry
Country be today Hmmphh my feet hurt,worry,sadness
9 days I m about ready to visit Torchwood and see if they ve hear anything,worry,neutral
aww you be too kind Hi sweetie Are you guy out party without me I m the only person who come to work 2nite lol,love,worry
never know a dentention be so hard 2 get,anger,worry
for lunch amp double free work 5 8 so much school work,empty,worry
button My music biz build that be,sadness,worry
get home im so effin sad,sadness,sadness
in a long line at chick fil a,hate,worry
omg be you go to see it another reason to not live in devon none of the f in cinemas have the film im so annoy,hate,worry
i wish i could offer a hug right now so bad,worry,worry
that s the prob no idea how to meet guy Met all my exs online amp now I ve date that pool dry,worry,worry
parent sell my car,sadness,sadness
all my chocolate,sadness,neutral
i find a few a couple of weeks ago i spazzed and then pull them all out so life be back to normal lol,surprise,neutral
milk be so much better through a straw I lack say straw,neutral,worry
although you wear sunglasses i can see how uncomfortable you felt poor sam,worry,worry
yep but I m go better now,neutral,neutral
juice I miss juice any fruit,surprise,sadness
I be sorry,worry,worry
my way to school of my last friday of high school ever and i don t even get to see holly Gabbie and hannah,worry,worry
gon na die of a heart attack one of these days if i keep go off to bed this piss GG NITEE,hate,sadness
Yes Haha and then when he impale himself with the cross key Love Scottish try to be Irish Ewan McGregor,relief,neutral
Bummer be go to try and make it other commitments I m afraid get into the way Next time hopefully,sadness,worry
Will arrive tomorrow morning at 7 early,worry,worry
work again when the weather be beautifull,love,sadness
70 200mm lens hood fell in the red sea,neutral,neutral
think my ipod be sick it doesn t want to connect to any wi fi,worry,worry
My dream be about hang out with all my friends It be good until I wake up and they weren t there,happiness,worry
IS she in grade 5 I can t do my daughters grade 4 math soo sad,sadness,worry
haha I know And then I need a new car too Oh ps I get a speed ticket,worry,neutral
my internet just crash i will ttytomorrow,worry,worry
I have run out of candy coat book,worry,sadness
really want to be home right now,neutral,worry
be I still upp LOL Work in less than 5 hours,worry,worry
they re at the bottom of the thing and aren t move at all feel bad man,sadness,worry
the pic wont load up on twitter,sadness,worry
get the dread call from babysitter little H have bump her head Sitter say she s fine and goose egg be go down fast,enthusiasm,worry
to get to work i m already start the day off bad miss the UP screen this morning at the el capitan,worry,worry
people be pathetic how do u know some one be try,worry,worry
I be very stick I have upload a picture but it doesn t show up S I urgently need serious Twitter help lol,worry,worry
be slow,neutral,worry
noes The TV be break No red standby light or anything check the plug fuse now to the inside,worry,worry
unusual for them,neutral,neutral
absolutely nothin,neutral,sadness
the middle of breakfast the school call Yep back to get Shey AGAIN 3rd migraine this week or maybe one that never go away,sadness,worry
haha I remember that That trip be fun I Miss miss miss miss miss chu,neutral,sadness
to smoke a cig but doesn t have a lighter,love,neutral
finally go home but didnt get to finish all my work so ill be back tomorrow,love,sadness
Just come back from watch Terminator Salvation Cathay It s so so only not so much action but I feel sorry for Marcus though,worry,worry
to be sunbathin,neutral,worry
have no credit in your phone sux i cant even text people to see what s happen like its totally grrsville,sadness,worry
car be home Yay 613 22 Boo I m pay my mom in installments I give her 200 today I so need to win the lottery,happiness,worry
july 8th flight get in my mate here be on about goin hm early so be all,neutral,worry
a new appreciation on how a xml build script can really be painful and cumbersome,worry,worry
would happen if the Bees die,worry,worry
htoddcarter I just notice that too,worry,neutral
do you need to go on a bike ride,empty,worry
nah im pooped from move 2day im just lay down relax lol,enthusiasm,neutral
really need to sort out a bird table and some feeders the robins and blue tits be be bully,hate,worry
amp shower time then back to revision 5 days leave,neutral,neutral
oh Nancy so sorry for your loss amp wish you the best,worry,sadness
I know how you feel Have a lovely relax weekend,happiness,neutral
i think you should come tomarrow because i be really really really look foreword to see you please come,love,worry
Your not alone,enthusiasm,sadness
but i cant sleep,worry,worry
about open MacMaze source as I don t have time to work on it anymore,worry,worry
get upset at work cus bindz and j be be bully and they win t let me go duty free shop,worry,worry
I can t avoid spell bee spoilers anywhere Now I know the win speller and word before have actually watch the bee,surprise,neutral
home safely but hungry,relief,worry
have to work in the morning while my friends get to party it up stupid bberry lite flash red and I have no message,hate,sadness
nh n c bonus r i Ch c ch bï ½ vï ½o kho n unpaid leave,neutral,sadness
home Had a great time,happiness,neutral
wish I could go to BEA this weekend,neutral,sadness
don t worry iPhone users be just as privilege wish i be head to the pool,worry,worry
on blackberry fooked so no check of the tweet and whether phill have take up my request,worry,worry
Hey you change your twitter account and you didn t even tell me,surprise,worry
Sadly no robot songs in my library,sadness,sadness
lucky be beggin for jury duty for years they dont ever send me notice just notice for other people to my address,surprise,worry
OSCalendar Either way that s unfortunate to hear Thanks you both for the head s up,worry,worry
where be you go tonight,worry,neutral
be soo tire,neutral,worry
downfall about relax later be mad manual labor now just finish clean the fridge and now to fold clothe house work blue,empty,neutral
back after watch Night at a Museum 2 would rate it 5 on 10,sadness,neutral
upload my new blog a painful story about an 80s year old man who cry because he want to die very sad,sadness,sadness
Last week of July Will you be up and at em by then,worry,worry
can you fedex me some pizza I have to cancel my NYC trip until later this summer,sadness,sadness
duh typo error part 2 social network there isn t even room for people,worry,worry
i need a hug i dnt feel so good,love,worry
that Christian Lacroix have to file bankruptcy,sadness,neutral
Love it I wish my other half could even name web design ladies,sadness,love
crap on here in school be a drag i give up lol ill do it at home i wan na go home T T my vida be so bore right now,worry,sadness
can t sleep without him nearby,sadness,worry
apartments in Kaohsiung Will go see the apartments on next Tuesday Haven t find a good one with reasonable rent,worry,worry
in stats and I m bore and tire,neutral,sadness
My Power be cut off thats where i go,worry,worry
love the song quot together quot that s quot his quot song for me well i think it s still be,love,sadness
they try to take me 2 jail sissy apparently i have a warrant in agg town yeah shock the hell outta me 2 lmao yeah right,worry,worry
of you can have fun tweet all day while im clean hair LOL,love,sadness
what about me,neutral,worry
I m better today Yesterday be really hard It s still just so unbelievable I miss him too and probably always will,sadness,sadness
pay my bill now I have no money,sadness,worry
when will gfail end be on HTML version all day,worry,sadness
wait for to wake up hazin a sad,worry,worry
my right hear be block and it s so annoy what if i wake up deaf not gon na lie i m so scar,worry,worry
5 happiness chinese totally disappoint the food be USUALLY good FAIL,sadness,worry
a bad headache,worry,worry
docs be get younger these days can u guess where be i yup NUH pay my ear doc a visit Ouch,worry,worry
NAT I m go to miss you so badly,worry,worry
Melted maybe 2 square inch of skin Ran it under cold water for a min or two and then ice until the ice melt Now hurt,sadness,worry
be go well so far Meeting until 4 though,happiness,worry
know a not fun way to wake up Having a panic attack and not be able to breath for no fuck reason that fuck suck,worry,hate
Happy Sammy be go 2 here 2morrow But unfortunatly I m not go be able 2 go 2 the club he perform,sadness,worry
Im upset cuz now everyone agree,sadness,sadness
do the beach have to be so far away from atl need beach need beach,worry,sadness
people around though there be so many where be the webdesign twitter,surprise,worry
mcdonalds combo and wendys sundae puke material,hate,neutral
how do we know if we win,neutral,worry
to shawnee I hate the long drive there i just want to get all this paper work over with,hate,hate
tyra bore like always my stomach hurt,empty,sadness
oh no hope you feel better soon Hugs I have flu earlier this month,worry,worry
crap Sharapova be take a beat from an unseeded qualifier ok o back to double,hate,worry
seriously need to study,worry,worry
traffic Going to be late,worry,worry
Friendly Gm today Bulgaria Def be on pt offensively still work on time Israel on Sun Got ta cut 2 more players,happiness,worry
with Gary burr So excite to get some quot girls quot music on tape Missing Tayla,fun,worry
Ouch Better get use to it I think 22 to 25 be prime marriage years,relief,worry
why have you still not call me back regard the groundbreaking production i send you earlier,worry,worry
where d you go,worry,neutral
suck that i have to delete it,sadness,sadness
the new sport catalog and card jitsu update be not appear for me,worry,worry
Actually maybe not it s sell out for Sat lunch,neutral,neutral
just finish watch Prison Break the final break omg i dont think i ve cry so hard for a show Finally understand the finale,sadness,sadness
actually in Sweden the IKEA s do have room to stay the night Not here though I ll have to stay across the street,hate,worry
Just notice didn t get the location right again Maybe a way to preview it before send would be handy,hate,worry
I m glad sad that it s not just me my iPhone badoptus,sadness,sadness
miss my boys,worry,sadness
oh no hug,surprise,worry
course the Evil Day Job want me to stay longer I need to win the lottery,neutral,worry
so I do shed a few tear watch the preview for next weeks Medium I m so scar I m so addict to this show I love it,love,sadness
I spend an hour on a project for work only to have the computer bork and crash and lose it all,worry,sadness
computer just break Time to get the old IBM out,worry,sadness
philiplinden Blake Sea should have be a water sandbox a la Cordova but we can t rez object and autoreturn be 5 mins,neutral,worry
don t remember what i text to twitter to get a list of command halp,neutral,worry
hair be on fire right now Eww it smell,neutral,worry
my bed be SO comfy amp my nap have be much too short Getting up for work do not want,sadness,worry
hate it when a website say the ticket price be on another website and their not,surprise,hate
be on time three shift in a row but I wake up at 840 and work s at 9 five minutes late ugh _,worry,worry
hop that she leave her bb at home and didn t lose it on the Metro,worry,worry
shoe for me,sadness,worry
oh be it good I ve be want to watch that movie but noobody would watch it w me,sadness,sadness
belated Birthday to Billy I forget to say that on his bday I feel aweful,relief,sadness
scofiled Noo I hate the writer director n production,sadness,hate
My club card and picture and I just cure world hunger And make of gold This thing be awesome Too bad you don t have yours,worry,sadness
sleep in with no dolidh here to wake me up,worry,worry
go im sorry for disappoint you,neutral,worry
wish I be in dallas with the kiddnation family,worry,sadness
eat lunch with my wife like I want to,worry,worry
I m ache all over,surprise,sadness
But I d have to drive Or get a taxi Do you have a pool table jukebox,enthusiasm,worry
from ally court for the last time its a sad sad moment,worry,sadness
be not herself after recieving vaccines,neutral,neutral
think payday be today but its on saturday so happy hour wont be happen today lol thank goodness its friday tho,worry,worry
hmm your blog win t let me post a comment,worry,neutral
I really hope you see my tweet Sent you so much I swear Do a tour in the Philippines please pray,fun,worry
about to eat home make indian food be boak x,neutral,worry
Argh Totally right escapou me,neutral,worry
girl in the hair salon ask me quot Shall I trim your eyebrows quot How old do I feel,neutral,sadness
My sister and I be suppose to be meet you today in Birmingham Please reschedule,worry,worry
dude i didn t know it be a personal experience sorry something like that go down,worry,worry
I wish I have Left 4 Dead But first I d need something to play it on,sadness,worry
I guess u ain like me den My hair cut short lol,happiness,worry
my ard earn money dissapear,neutral,worry
be ded out tonite tho ee,worry,worry
find mj mouse flats at DJs Of course there be none leave in my size,sadness,worry
2 eat some SMACKS 4 breakfast then get start on my day catch ya on the flipside I really wish I cud go mobile dang Bahrain,fun,worry
in hair lighter amp bong new haircut,neutral,worry
have a headache,sadness,worry
a day of paint,neutral,sadness
I ll be stick inside the office all day today,worry,worry
its 1 be already shuck,surprise,worry
I so agree with you we have be marry for 7 yrs and this be our 6th move BLAH,neutral,worry
get any go yet on the supernatural convention in birmingham be wait patiently,neutral,worry
wait to watch the Tonight Show this even last one with Jay,love,worry
to work for the day,neutral,sadness
how come mcdonalds take so long to deliver my food,sadness,worry
hubby be stay for one more week in Uzbekistan,neutral,neutral
intentarlo ONCE AGAIN,empty,neutral
nothing bout 2 go 2 work,neutral,neutral
Downside though be that you re break the thread,hate,worry
DAY in St Andrews i will spend it on west sand and then pack,sadness,sadness
hey u no not yet soon maybe tomorrow,neutral,neutral
I m totally hatin this like for real I mean like duh I ve study enough and all that I need be refresh tonite Hard,neutral,worry
REALLY wish I be spoil,worry,sadness
Casey US Ready To Fight War Against North Korea uh oh the war pig be get excite again,neutral,worry
movie out today but i cant go see it,sadness,neutral
to do house chores Ugh,sadness,sadness
i try phone you,worry,worry
I wish they keep the 17 y o kid he would have be good eye candy on the show and he be really good can t wait,worry,worry
we want you back,love,worry
I know I can read bt I can t sit outside coz I gota answer the phone,sadness,worry
I get a job cuz we need an apartment I m drink amp miss my lil punkin TEHE,worry,sadness
yeah ill be on verizon so those be my two options right now,worry,worry
and the quot fuck quot be because I dont get my gift I be SO exit about it and it be soo awesome,hate,sadness
Aw you name your car that s very sweet I m sorry to hear that Petey have to go I hope you find a really posh rollerskate,surprise,worry
you stop it,sadness,neutral
pinch nerve,neutral,neutral
Twitpic win t show me the picture,neutral,neutral
sad his new SB6 CD s get nick,worry,sadness
need to go out of office again i be melt,worry,worry
miss you too it be i never want to come home seriously,sadness,worry
87 degrees as the high and I m on my way to work hagg lake tomorrow be go to be especially bomb sauce,hate,worry
hey handsome I m pack,neutral,worry
nope i cant figure out how to get the update on my blackberry i need to go run too,neutral,worry
everyone,neutral,sadness
Tom Do a tour in the Philippines please That would be so awesome,worry,sadness
should ask their 22 year old sons before drink,worry,worry
ohh ok so like it s more frustrate I have my hand on a 3g iphone last week but it be upgrade so i couldn t unlock it,worry,worry
so sleepy my head hurt gnite lovers See ya in that be,worry,worry
this year Can t catch it win t be in NY till Oct 2010,worry,worry
unify summer school drastically cut due to CA budget cut Very sad,sadness,worry
session after this fun,happiness,worry
really like to not be at work and instead take a nap,neutral,worry
damm i think i be on to something loll,fun,worry
diego i know lo ame a jack,empty,worry
Is it Wah Wasted trip,surprise,worry
on the bus I miss my car,sadness,sadness
Hey Maria I m so sorry I think I accidentally disconnect you Thank you SO much for try Headed to your site soon,worry,worry
humpalow um ya I think so Cell be die,worry,worry
great I suppose it be inevitable I d get spammed on Twitter too,neutral,worry
be the boss I d like to have my check and leave please,sadness,worry
strand delhi Airport flight delay,worry,worry
bore in chem n im super hungry Ugh,hate,sadness
be love this sunshine and hat the think of my office without windows,sadness,sadness
this be a travesty,hate,worry
god I want to blow up my tooth It hurt,hate,sadness
guy I m back from work It be kinda horrible,sadness,worry
sleep so tire goodnight maybe,sadness,worry
at the beach watch Xmen Origins and drink orange juice with no pulp,surprise,sadness
welcome to public transport X,neutral,worry
these allergies I don t like this time of year because of this I never use to have this problem either,sadness,worry
T im soo bore right now,neutral,sadness
why must you come quot after quot I flat iron my hair I have be rockin my curl for 3 weeks and today you decide to come out not nice,sadness,neutral
WHY,worry,worry
baby be go to her first sleepover tonight I m gon na need a lot of wine to get me through today,neutral,worry
n o   t e x t,neutral,neutral
Nobody ever s make me sad,happiness,sadness
alright i REALLY wish you guy could ve do a show in tennessee because now i can t go to one of your show,sadness,neutral
apologies don t fix hurt feel kev anyway i ll get it from u next time I c u,worry,worry
Poor you If I be with you right now I would probably give you a hug D,happiness,worry
the inn now im at school dang its straight up dead here lt 3Hannah,sadness,worry
be underpay just when i really didn t need to be as well,sadness,worry
off to meet my folks after a while gon na b a work weekend too,neutral,neutral
Wish I could go Got ta work,neutral,neutral
This year,neutral,worry
show my age Renewed my tag last week go down 20 Got my insurance renewal email today go down 100 I don t wan na be old,worry,worry
my kid be sick too tho i can t do it by myself i can t go there by myself like a crazy stalker,worry,worry
tire still kinda angry that i miss the concert,sadness,sadness
get back from my first session at the gym with a PT I m sore allread,empty,worry
That s me on a good day,sadness,sadness
So sorry to hear about your mom that really suck,worry,worry
get to drive my dad to the airport so he can fly to Vegas for the WSOP I wan na go to Vegas,happiness,worry
thank for the ff shoutout you stick an extra e in my username tho so the link doesn t work,sadness,neutral
rt i have have few hearts the past few days on etsy boo hoo totally the same for me too,sadness,sadness
I guess it ll work under fusion Otherwise you ll have to boot directly to Vista just to do some online bank which suck,worry,worry
haha tell me about I ve have this feel everyday of this week,surprise,sadness
What make me sad be when I follow someone I converse with and have similar bios but they don t follow me back,sadness,worry
pool doesnt open til tomorrow,surprise,worry
catch tweet on it and get home in time for the last 5 mins of the ITV2 show bgt Out tonight too so will miss it again,sadness,sadness
to the hospital to sort out my back not look forward to this,worry,worry
Sorry but I bet they aren t that bad,relief,worry
why be I weird,worry,neutral
Why online one download this week,worry,neutral
I just get my Kiss Album in and it s the wrong color,sadness,worry
bugger didn t know that shame people have to stick there nose in,hate,worry
not impress it might go away if you complain too much x,hate,worry
whole back be burn from tan ouch,worry,worry
take my forum access away fail,neutral,worry
LOL Academy ish Haha I really really miss O B,neutral,sadness
funny i m kinda sad on my last day,sadness,sadness
I m so sorry ya get ta let me know I ve be book all week,worry,sadness
Leno have one more show leave as the host of The Tonight Show,neutral,worry
do she tell you why she hasnt i miss my boge,neutral,worry
What He choose one of them Noo Betty be suppose to get him in the end,surprise,worry
think I should hire one of those tranlsators because no one ever understand me,worry,worry
naisee be it bad that i can see lens flare all arond me while listen to it XD cant really catch what they re say tho,neutral,worry
i miss that too,neutral,sadness
get a freakin macbook hoorayy but i freakin delete phootbooth,happiness,neutral
how sad I didnï ½t get it,sadness,sadness
i cant go swimmin any more,sadness,neutral
whatchu goin as Monsterpalooza s this weekend for us on the no Ink i win t be a stress contestant this year Miss U X0,sadness,worry
talk to me someone I m really bore,sadness,sadness
Bordello lt par Prolly not even in the top 10 of GB show I ve see Perhaps some old fashion Civilization II will help,boredom,neutral
They end up stay late But how be ur night LOL,worry,worry
glass give me a headache,neutral,worry
what bout david wallace,neutral,worry
some time explore Atlas and Hercules craters re find things in UMa Oph Ser Caput amp Saturn w a fog eyepiece Home by 2a,neutral,worry
think I ve forget to mention some people on my video,worry,worry
overstress go to work now just want the college work to go away i don t wan na fail,worry,sadness
miss u more,sadness,sadness
RAINING ITS POURING where be my spoon buddy,worry,neutral
to see 2001 Maniacs Why win t it come through the post,neutral,neutral
about rain here or it s just plain cloudy i don t know which,neutral,worry
to start get ready for work take lexi out to the park earlier wish i could lay around ALL day,sadness,worry
y all And it s really nice out I work 12 5 though,neutral,sadness
lose count sorry I let u down,worry,worry
myself in tonight Mogwai on repeat,relief,worry
internet service have be act strange after the earthquake Just find out that the submarine fiber optics cable get damage,worry,worry
i take it you re not a fan,hate,worry
and move my dad home when he should be work im due to work at 12,worry,neutral
Wish I could be there too Enjoy your weekend xx,happiness,sadness
dude i just saw your SF pics look like your mini excursion be pretty kick ass didn t see any sun while i be there tho,surprise,worry
stewart s new song,neutral,neutral
not be home til 10 pm tonight,neutral,worry
Advertising go mad they want access to my camera and microphone What for Amazon should really know better,surprise,neutral
sound good Appreciate the suggestion Been a week now and we re still offline Time to ask for a refund,love,worry
that hurt like hell finally get it back in can t close it put the ball back in,worry,worry
im not a doofus it could happen wahh im on my break,sadness,worry
unfortunately I didn t leave the house in time,sadness,worry
KL now take wrong turn after Sg Besi now jam in city center,worry,worry
it s this damp weather,sadness,worry
do i do now,empty,worry
to mow the lawn,relief,worry
Wish I could be there to enjoy a girls day,sadness,sadness
Marshmellows muffins fail They all bubble and then evaporate leave big hole heh still taste alri,surprise,sadness
when you wake up tweet me and let me know when ur on msn I really need to talk to you miss you,sadness,sadness
well we aren t normal then because 1 we can t drive in mexico you have to be 18 and 2 there be no dairy queen here,worry,worry
you need to share the h w love Some of us be still rock 2008 s gear,worry,love
finish watch Prison Break the final break omg i dont think i ve cry so hard for a show Finally understand the finale,surprise,worry
have be good at Ping amp pooping outside but not use to the fact he doesn t have his sister lonely puppy,worry,sadness
umm last night when I DM d you you say it be a quot good quot question,worry,neutral
no adult school again,worry,worry
day,sadness,sadness
actual gon na need a new job and not just want,neutral,worry
Yeaa i m so sad i ve watch her live performances in Peru etc and they be EPIC I wish she d just come to N I lol xo,sadness,sadness
be din nou PR 4 Yeey my epenis be now bigger,surprise,worry
I know It be drizzle all the way to work Hope it warm up this weekend,sadness,worry
google WTF I don t feel online if I can t get into my inbox,worry,worry
get back from the doctor I don t need surgery yayy But my knees be still fuck not gon na get better,happiness,worry
the emergency room with my cousin She s get mad flu and can t walk or breathe Why be hospitals always so cold,worry,worry
he have realize his wife hadn t hold onto the debit card before he take a long walk to get lunch and not after GRR,neutral,worry
Still finish errands for a trip tomorrow morning where I have to be at airport at 6am,worry,neutral
aircon not work in my office,love,sadness
come back home now honey,worry,neutral
I miss you terribly,worry,worry
catch in the rain outside now im cold bbrr,sadness,worry
on the phone with HP,hate,worry
all the effort and time put into some of these relationships with people you learn enough not to trust anyone,sadness,worry
last night in A amp E ER Wife tangle wheel with Daughter amp hit the deck Dislocation amp fracture result,worry,sadness
should learn not to walk all day and then sprint through sprinklers without stretch,neutral,neutral
a shift tomorrow I don t really feel like work right now,sadness,worry
oh well you dunno where i liv eANYWAY,worry,worry
want 2 get my nail do today but accord 2 superstition I can t Guess I ll have 2 wait til tomorrow then off 2 French,worry,neutral
there all Can t stay to long have to go to work soon,worry,worry
u beat urself up a lot stop please Just do it Like Nike LOL,neutral,worry
Just get do discing find two discs in the last two days Solid Wish would treat my koozie better and not throw it around,worry,worry
tummy hurt go away cramp I hate chuu,sadness,hate
to bed last night with the feel of a migraine come and wake up feel worse,worry,worry
Sorry to hear ur flight get cancel that blow,worry,sadness
pool in Orlando get new kick go to seaworld tommrow miss my best friend,sadness,worry
busy bee I wish I didn t have 2 do laundry Worst,hate,worry
not pay ï ½8 per hr for Internet access so may be limit to Twitter via txt,hate,neutral
I ve have a fever for the past 48 hours You should see me I m unshaven puffy face and look pathetic,sadness,sadness
they shut the freeway down omw to a job interview so i guess i m gon na be late,worry,worry
my own LDBF didnt give me a Follow Friday shoot out,sadness,neutral
amp tryin 2 figure out lifes trick,worry,neutral
I have to look at it 3 time before it sink in totally shock by it tbh,worry,worry
Muffins be delicious Muffins be neat I have no more muffins to eat,love,worry
With puppet again I think I just wipe my drive on my workstation,neutral,worry
I have be run down all week go to bed around 8 30 each night because of my allergies It be miserable,worry,sadness
